,games,total_pnl_usd,mean_pnl_per_game_usd,median_pnl_per_game_usd,game_sharpe,win_rate,total_fees_usd,spread_captured_usd,inventory_pnl_usd,mean_abs_inv,max_abs_inv,mean_terminal_abs_inv,fills_per_game,maker_qty_per_game,latent_qty_share,worst_game_usd,best_game_usd
fixed_spread,30.0,-514.0,-17.133333333333333,-16.16,-0.912313414232961,0.1,383.74,302.7275,-293.01,401.0700489993381,500.0,399.65,57.36666666666667,1863.6833333333334,0.0,-93.43,15.065
as,30.0,-186.62,-6.220666666666667,-1.7175,-0.5077451535622514,0.16666666666666666,136.93,222.0,-201.465,66.02973053370538,500.0,158.5,16.533333333333335,637.0666666666667,0.0,-60.51,5.545
