step,val_games,val_total_pnl_usd,val_mean_pnl_per_game_usd,val_median_pnl_per_game_usd,val_game_sharpe,val_win_rate,val_total_fees_usd,val_spread_captured_usd,val_inventory_pnl_usd,val_mean_abs_inv,val_max_abs_inv,val_mean_terminal_abs_inv,val_fills_per_game,val_maker_qty_per_game,val_latent_qty_share,val_worst_game_usd,val_best_game_usd
25000,60,-1460.085,-24.33475,-14.4075,-0.6896133701274988,0.15,1184.05,1027.175,-978.595,399.7071379265114,500.0,404.89166666666665,75.88333333333334,2230.325,0.0,-142.71,28.24
50000,60,-1579.58,-26.32633333333333,-12.62,-0.6333584066565645,0.21666666666666667,1469.64,1225.6375,-958.4625,387.2692206335576,500.0,430.275,96.4,2894.75,0.0,-151.97,27.8
75000,60,-3600.315,-60.00525,-34.265,-0.7933863173515928,0.05,3487.04,1900.7275,-932.24,260.0851917396454,500.0,163.55,139.4,4328.708333333333,0.0,-340.715,27.65
100000,60,-2051.815,-34.19691666666667,-20.1625,-0.6961985022997278,0.11666666666666667,1826.47,1445.725,-1224.5125,384.95048705538323,500.0,350.03333333333336,110.26666666666667,3382.5416666666665,0.0,-196.985,19.075
125000,60,-2508.9,-41.815,-22.72,-0.8101788691821242,0.03333333333333333,2347.05,1683.765,-1071.6075,341.4407385309109,500.0,242.475,120.61666666666666,3836.891666666667,0.0,-229.78,1.41
150000,60,-3710.81,-61.846833333333336,-37.06,-0.827906715170212,0.016666666666666666,3606.28,2137.1525,-988.7725,273.1882702433426,500.0,151.26666666666668,155.93333333333334,4853.133333333333,0.0,-433.535,2.56
175000,60,-3776.99,-62.94983333333334,-35.455,-0.7488090008510536,0.016666666666666666,3710.84,2226.875,-993.725,293.3542341054407,500.0,152.325,164.75,5134.333333333333,0.0,-488.6,0.04
200000,60,-4489.75,-74.82916666666667,-52.84,-0.9264709029742422,0.0,4550.58,2602.6225,-940.0725,209.37157092684996,500.0,164.83333333333334,199.28333333333333,6175.675,0.0,-403.04,-1.55
