epoch,mean_psi,val_games,val_total_pnl_usd,val_mean_pnl_per_game_usd,val_median_pnl_per_game_usd,val_game_sharpe,val_win_rate,val_total_fees_usd,val_spread_captured_usd,val_inventory_pnl_usd,val_mean_abs_inv,val_max_abs_inv,val_mean_terminal_abs_inv,val_fills_per_game,val_maker_qty_per_game,val_latent_qty_share,val_worst_game_usd,val_best_game_usd
0,-119.20776041666669,60,-563.31,-9.3885,-10.575,-0.4448110974670736,0.2833333333333333,828.8,811.245,-319.6325,370.6503613166205,500.0,417.175,65.53333333333333,2020.45,0.0,-57.995,61.64
1,-89.36144375,60,-634.065,-10.56775,-9.415,-0.4947150333429373,0.3,815.77,820.5475,-418.6775,348.23953527956616,500.0,401.075,62.71666666666667,2002.9416666666666,0.0,-56.105,64.3
2,-67.20683125000001,60,-693.665,-11.561083333333334,-9.91,-0.5338999669935547,0.26666666666666666,811.4,833.6475,-498.025,333.3301003260398,500.0,391.575,64.9,2011.8666666666666,0.0,-62.07,39.885
3,-45.92131666666667,60,-730.46,-12.174333333333333,-9.595,-0.5379999424604328,0.26666666666666666,901.86,977.19,-592.985,312.76659930291675,500.0,385.3333333333333,76.45,2457.4583333333335,0.0,-56.83,43.15
