,games,total_pnl_usd,mean_pnl_per_game_usd,median_pnl_per_game_usd,game_sharpe,win_rate,total_fees_usd,spread_captured_usd,inventory_pnl_usd,mean_abs_inv,max_abs_inv,mean_terminal_abs_inv,fills_per_game,maker_qty_per_game,latent_qty_share,worst_game_usd,best_game_usd
fixed_spread,2895.0,-67720.97025000001,-23.392390414507776,-15.07,-0.4863482118169591,0.20932642487046632,108747.45,126932.21539999999,-77813.309825,458.40470463846793,500.0,426.8473972366148,326.6466321243523,8409.260492227979,0.0,-1038.385,171.1
fixed_spread_skew,2895.0,-34362.2702,-11.869523385146804,-4.817800000000006,-0.27405398535502634,0.3032815198618307,85852.92,133423.46825,-77701.48172499999,105.26348052565818,500.0,216.05428497409326,217.8825561312608,7095.424585492228,0.0,-1227.55,192.84
as,2895.0,-30214.128849999997,-10.436659360967186,-3.71,-0.30829967906633676,0.33298791018998275,54842.59,99138.43442499998,-69075.191175,75.41944158059133,500.0,283.43088082901556,130.2272884283247,4026.8253816925735,0.0,-1010.02,98.53
spooner,2895.0,-37156.3521,-12.834663937823834,-9.705,-0.4139769079036012,0.28911917098445594,48744.66,59621.3146,-39634.86905,407.39647875043363,500.0,417.5785043177893,108.99412780656304,2889.4329965457687,0.0,-317.915,590.93
drl,2895.0,-66504.47200000001,-22.972183765112263,-18.035,-0.6679798557695886,0.17789291882556132,61985.37,50739.51835,-39020.708925,407.14414580257363,500.0,403.02825388601036,86.3740932642487,2404.2326822107084,0.0,-418.585,397.1
